X,Y,Photon Count,ADU Value
0,0,2,36.46064877819043
0,1,2,20.460648778190432
0,2,2,52.46064877819043
1,0,2,22.460648778190432
1,2,2,37.46064877819043
2,0,2,24.460648778190432
2,2,2,40.46064877819043
0,268,2,29.460648778190432
0,270,2,23.460648778190432
1,270,2,28.460648778190432
2,268,2,26.460648778190432
2,269,2,22.460648778190432
2,270,2,25.460648778190432
0,1469,2,20.460648778190432
1,1467,2,30.460648778190432
1,1469,2,23.460648778190432
2,1467,2,42.46064877819043
2,1468,2,50.46064877819043
2,1469,2,20.460648778190432
2,0,2,24.460648778190432
2,2,2,40.46064877819043
3,0,2,22.460648778190432
3,2,2,35.46064877819043
4,0,2,32.46064877819043
4,2,2,35.46064877819043
2,1466,2,24.460648778190432
2,1467,2,42.46064877819043
2,1468,2,50.46064877819043
3,1467,2,27.460648778190432
4,1467,2,23.460648778190432
2,1467,2,42.46064877819043
2,1468,2,50.46064877819043
2,1469,2,20.460648778190432
3,1467,2,27.460648778190432
3,1469,2,20.460648778190432
4,1467,2,23.460648778190432
3,0,2,22.460648778190432
3,2,2,35.46064877819043
4,0,2,32.46064877819043
4,2,2,35.46064877819043
5,0,2,25.460648778190432
5,2,2,35.46064877819043
4,0,2,32.46064877819043
4,2,2,35.46064877819043
5,0,2,25.460648778190432
5,2,2,35.46064877819043
6,0,2,29.460648778190432
6,2,2,42.46064877819043
4,2,1,35.46064877819043
5,2,1,35.46064877819043
6,2,1,42.46064877819043
7,1458,2,20.460648778190432
7,1459,2,20.460648778190432
8,1457,2,39.46064877819043
8,1458,2,36.46064877819043
8,1459,2,24.460648778190432
9,1457,2,41.46064877819043
9,1458,2,26.460648778190432
8,0,2,22.460648778190432
8,2,2,29.460648778190432
9,0,2,26.460648778190432
9,2,2,37.46064877819043
10,2,2,37.46064877819043
8,1022,2,25.460648778190432
8,1023,2,42.46064877819043
9,1021,2,30.460648778190432
9,1022,2,32.46064877819043
9,1023,2,26.460648778190432
10,1021,2,28.460648778190432
8,1457,2,39.46064877819043
8,1458,2,36.46064877819043
