X,Y,Cluster Size,ADU Value
299,995,1,135.46064877819043
328,1432,1,134.46064877819043
376,1278,1,124.46064877819043
389,615,1,156.46064877819043
460,1420,1,120.46064877819043
511,1283,1,129.46064877819043
568,323,1,176.46064877819043
593,1140,1,125.46064877819043
640,1270,1,126.46064877819043
816,1367,1,116.46064877819043
851,1257,1,130.46064877819043
875,1310,1,123.46064877819043
949,1424,1,115.46064877819043
1105,1431,1,130.46064877819043
1179,898,1,127.46064877819043
1194,1418,1,117.46064877819043
1213,1398,1,126.46064877819043
1214,1285,1,124.46064877819043
1641,1503,1,136.46064877819043
1696,1624,1,132.46064877819043
1749,1480,1,122.46064877819043
1767,1021,1,126.46064877819043
1840,1488,1,131.46064877819043
1936,1496,1,121.46064877819043
19,1160,2,125.92129755638086
380,1396,2,111.92129755638086
398,358,2,110.92129755638086
599,1255,2,137.92129755638086
602,1416,2,136.92129755638086
1162,1319,2,110.92129755638086
1422,1840,2,146.92129755638086
1482,1300,2,121.92129755638086
1485,362,2,110.92129755638086
1621,1455,2,125.92129755638086
1664,1320,2,118.92129755638086
1766,2000,2,112.92129755638086
0,2,3,111.3819463345713
53,1461,3,165.3819463345713
109,1486,3,166.3819463345713
109,1090,3,150.3819463345713
112,1460,3,110.3819463345713
143,661,3,173.3819463345713
151,1625,3,124.3819463345713
179,1439,3,124.3819463345713
211,1416,3,116.3819463345713
237,1285,3,135.3819463345713
247,1219,3,122.3819463345713
254,1301,3,161.3819463345713
267,1286,3,177.3819463345713
275,1399,3,112.3819463345713
281,1012,3,111.3819463345713
287,998,3,144.3819463345713
287,1352,3,132.3819463345713
301,1152,3,124.3819463345713
301,570,3,119.3819463345713
305,1204,3,111.3819463345713
350,1332,3,120.3819463345713
413,217,3,111.3819463345713
486,1160,3,116.3819463345713
603,1464,3,114.3819463345713
694,1282,3,118.3819463345713
695,1417,3,137.3819463345713
790,1560,3,139.3819463345713
808,1212,3,120.3819463345713
846,1457,3,125.3819463345713
904,1359,3,112.3819463345713
925,1312,3,128.3819463345713
1108,1957,3,125.3819463345713
1108,282,3,168.3819463345713
1118,1184,3,121.3819463345713
1151,1586,3,117.3819463345713
1291,1629,3,117.3819463345713
1307,1426,3,121.3819463345713
1325,1290,3,115.3819463345713
1369,1413,3,175.3819463345713
1428,224,3,143.3819463345713
1446,1379,3,119.3819463345713
1546,1354,3,117.3819463345713
1559,1177,3,119.3819463345713
1624,948,3,113.3819463345713
1686,1134,3,110.3819463345713
1723,1344,3,128.3819463345713
1767,1471,3,111.3819463345713
1860,1344,3,115.3819463345713
1860,1485,3,119.3819463345713
1937,1825,3,138.3819463345713
1944,1793,3,121.3819463345713
1997,1247,3,155.3819463345713
2,1468,4,141.84259511276173
6,2,4,113.84259511276173
8,1023,4,126.84259511276173
11,2,4,126.84259511276173
17,2,4,112.84259511276173
20,1062,4,140.84259511276173
26,1322,4,161.84259511276173
28,1451,4,130.84259511276173
29,2,4,116.84259511276173
30,1455,4,140.84259511276173
30,1491,4,154.84259511276173
42,1498,4,171.84259511276173
46,1357,4,154.84259511276173
47,2,4,123.84259511276173
48,1965,4,167.84259511276173
52,2,4,122.84259511276173
53,672,4,171.84259511276173
54,2,4,118.84259511276173
59,1313,4,187.84259511276173
78,1309,4,138.84259511276173
81,1417,4,129.84259511276173
82,2,4,123.84259511276173
94,1467,4,139.84259511276173
105,935,4,115.84259511276173
108,1090,4,116.84259511276173
126,1406,4,114.84259511276173
145,1310,4,150.84259511276173
147,1424,4,163.84259511276173
165,1105,4,125.84259511276173
171,276,4,155.84259511276173
188,1307,4,133.84259511276173
240,1441,4,128.84259511276173
249,1453,4,144.84259511276173
249,1341,4,129.84259511276173
261,1869,4,110.84259511276173
266,1429,4,122.84259511276173
318,1388,4,135.84259511276173
334,1435,4,128.84259511276173
338,1421,4,118.84259511276173
341,1429,4,134.84259511276173
430,1464,4,133.84259511276173
587,1418,4,131.84259511276173
609,1659,4,154.84259511276173
670,1974,4,152.84259511276173
815,1430,4,111.84259511276173
947,1329,4,125.84259511276173
1193,1232,4,113.84259511276173
1331,1494,4,125.84259511276173
1340,2032,4,114.84259511276173
1398,1387,4,126.84259511276173
1442,1296,4,135.84259511276173
1521,1345,4,112.84259511276173
1532,1463,4,123.84259511276173
1547,1401,4,119.84259511276173
1562,1430,4,112.84259511276173
1707,869,4,191.84259511276173
1926,1485,4,126.84259511276173
2023,1507,4,134.84259511276173
2035,1560,4,123.84259511276173
