X,Y,Photon Count,ADU Value
0,0,2,27.362696766897017
0,1,2,20.362696766897017
0,2,2,44.36269676689702
1,0,2,24.362696766897017
1,2,2,40.36269676689702
2,0,2,28.362696766897017
2,2,2,34.36269676689702
0,402,2,24.362696766897017
1,403,2,26.362696766897017
1,404,2,172.36269676689702
0,405,2,23.362696766897017
1,403,2,26.362696766897017
1,404,2,172.36269676689702
2,405,2,22.362696766897017
0,405,2,23.362696766897017
1,404,2,172.36269676689702
2,405,2,22.362696766897017
0,880,2,31.362696766897017
0,881,2,20.362696766897017
1,881,2,26.362696766897017
1,882,2,30.362696766897017
2,881,2,52.36269676689702
2,882,2,38.36269676689702
0,881,2,20.362696766897017
1,881,2,26.362696766897017
1,882,2,30.362696766897017
1,883,2,25.362696766897017
2,881,2,52.36269676689702
2,882,2,38.36269676689702
0,965,1,30.362696766897017
1,965,1,23.362696766897017
2,963,1,92.36269676689702
0,1114,3,26.362696766897017
0,1115,3,40.36269676689702
0,1116,3,105.36269676689702
1,1115,3,29.362696766897017
1,1116,3,42.36269676689702
2,1115,3,24.362696766897017
0,1115,3,40.36269676689702
0,1116,3,105.36269676689702
0,1117,3,23.362696766897017
1,1115,3,29.362696766897017
1,1116,3,42.36269676689702
2,1115,3,24.362696766897017
2,1117,3,25.362696766897017
0,1116,2,105.36269676689702
0,1117,2,23.362696766897017
0,1118,2,23.362696766897017
1,1116,2,42.36269676689702
2,1117,2,25.362696766897017
2,1118,2,20.362696766897017
0,1137,4,30.362696766897017
0,1139,4,49.36269676689702
1,1138,4,23.362696766897017
1,1139,4,72.36269676689702
2,1138,4,21.362696766897017
2,1139,4,172.36269676689702
0,1139,4,49.36269676689702
0,1140,4,22.362696766897017
1,1139,4,72.36269676689702
1,1140,4,34.36269676689702
2,1139,4,172.36269676689702
2,1140,4,22.362696766897017
0,1298,2,82.36269676689702
0,1299,2,29.362696766897017
1,1298,2,35.36269676689702
1,1299,2,23.362696766897017
2,1299,2,23.362696766897017
0,1304,2,33.36269676689702
0,1305,2,26.362696766897017
1,1304,2,37.36269676689702
1,1305,2,25.362696766897017
2,1303,2,27.362696766897017
2,1304,2,52.36269676689702
2,1305,2,35.36269676689702
0,1366,2,25.362696766897017
0,1367,2,32.36269676689702
1,1365,2,30.362696766897017
1,1366,2,55.36269676689702
1,1367,2,25.362696766897017
2,1366,2,31.362696766897017
0,1468,2,22.362696766897017
0,1469,2,32.36269676689702
0,1470,2,23.362696766897017
1,1470,2,29.362696766897017
2,1468,2,28.362696766897017
2,1469,2,21.362696766897017
2,1470,2,60.36269676689702
0,1469,3,32.36269676689702
0,1470,3,23.362696766897017
1,1470,3,29.362696766897017
1,1471,3,38.36269676689702
2,1469,3,21.362696766897017
2,1470,3,60.36269676689702
2,1471,3,54.36269676689702
0,1470,2,23.362696766897017
0,1472,2,33.36269676689702
1,1470,2,29.362696766897017
1,1471,2,38.36269676689702
2,1470,2,60.36269676689702
2,1471,2,54.36269676689702
0,1485,2,24.362696766897017
2,1484,2,26.362696766897017
2,1485,2,123.36269676689702
0,1485,2,24.362696766897017
0,1486,2,21.362696766897017
1,1486,2,20.362696766897017
2,1484,2,26.362696766897017
2,1485,2,123.36269676689702
2,1486,2,23.362696766897017
0,1485,2,24.362696766897017
0,1486,2,21.362696766897017
1,1486,2,20.362696766897017
2,1485,2,123.36269676689702
2,1486,2,23.362696766897017
0,1874,2,26.362696766897017
0,1875,2,23.362696766897017
1,1874,2,58.36269676689702
1,1875,2,46.36269676689702
2,1874,2,29.362696766897017
2,1875,2,35.36269676689702
0,1880,2,22.362696766897017
1,1879,2,60.36269676689702
1,1880,2,79.36269676689702
2,1879,2,24.362696766897017
2,1880,2,30.362696766897017
0,1880,2,22.362696766897017
0,1881,2,28.362696766897017
1,1879,2,60.36269676689702
1,1880,2,79.36269676689702
2,1879,2,24.362696766897017
2,1880,2,30.362696766897017
1,403,2,26.362696766897017
1,404,2,172.36269676689702
1,403,2,26.362696766897017
1,404,2,172.36269676689702
2,405,2,22.362696766897017
1,404,2,172.36269676689702
2,405,2,22.362696766897017
1,881,2,26.362696766897017
1,882,2,30.362696766897017
2,881,2,52.36269676689702
2,882,2,38.36269676689702
3,881,2,25.362696766897017
3,882,2,23.362696766897017
1,881,2,26.362696766897017
1,882,2,30.362696766897017
1,883,2,25.362696766897017
2,881,2,52.36269676689702
2,882,2,38.36269676689702
3,881,2,25.362696766897017
3,882,2,23.362696766897017
2,963,2,92.36269676689702
3,961,2,22.362696766897017
3,962,2,22.362696766897017
3,963,2,59.36269676689702
2,963,2,92.36269676689702
3,962,2,22.362696766897017
3,963,2,59.36269676689702
3,964,2,23.362696766897017
1,965,2,23.362696766897017
2,963,2,92.36269676689702
3,963,2,59.36269676689702
3,964,2,23.362696766897017
1,1138,3,23.362696766897017
1,1139,3,72.36269676689702
2,1138,3,21.362696766897017
2,1139,3,172.36269676689702
3,1139,3,21.362696766897017
1,1138,4,23.362696766897017
1,1139,4,72.36269676689702
1,1140,4,34.36269676689702
2,1138,4,21.362696766897017
2,1139,4,172.36269676689702
2,1140,4,22.362696766897017
3,1139,4,21.362696766897017
1,1139,3,72.36269676689702
1,1140,3,34.36269676689702
2,1139,3,172.36269676689702
2,1140,3,22.362696766897017
3,1139,3,21.362696766897017
1,1365,2,30.362696766897017
1,1366,2,55.36269676689702
1,1367,2,25.362696766897017
2,1366,2,31.362696766897017
3,1366,2,24.362696766897017
1,1470,2,29.362696766897017
1,1471,2,38.36269676689702
2,1469,2,21.362696766897017
2,1470,2,60.36269676689702
2,1471,2,54.36269676689702
3,1470,2,30.362696766897017
1,1486,2,20.362696766897017
2,1484,2,26.362696766897017
2,1485,2,123.36269676689702
2,1486,2,23.362696766897017
1,1486,2,20.362696766897017
2,1485,2,123.36269676689702
2,1486,2,23.362696766897017
1,1873,2,27.362696766897017
1,1874,2,58.36269676689702
1,1875,2,46.36269676689702
2,1874,2,29.362696766897017
2,1875,2,35.36269676689702
1,1874,2,58.36269676689702
1,1875,2,46.36269676689702
2,1874,2,29.362696766897017
2,1875,2,35.36269676689702
1,1879,2,60.36269676689702
1,1880,2,79.36269676689702
