X,Y,Cluster Size,ADU Value
85,795,1,166.36269676689702
98,405,1,155.36269676689702
108,909,1,150.36269676689702
126,639,1,165.36269676689702
132,272,1,167.36269676689702
136,740,1,169.36269676689702
143,1258,1,133.36269676689702
152,1072,1,177.36269676689702
154,1211,1,137.36269676689702
163,235,1,168.36269676689702
171,938,1,142.36269676689702
178,825,1,135.36269676689702
183,635,1,173.36269676689702
204,998,1,129.36269676689702
208,1783,1,193.36269676689702
218,1067,1,167.36269676689702
223,425,1,157.36269676689702
225,1208,1,163.36269676689702
226,1111,1,128.36269676689702
247,148,1,138.36269676689702
252,1718,1,158.36269676689702
267,1223,1,136.36269676689702
294,1427,1,125.36269676689702
298,800,1,130.36269676689702
302,674,1,178.36269676689702
307,1957,1,187.36269676689702
313,731,1,164.36269676689702
313,860,1,145.36269676689702
316,1284,1,121.36269676689702
320,391,1,164.36269676689702
328,1638,1,150.36269676689702
336,1399,1,114.36269676689702
336,1961,1,117.36269676689702
341,1100,1,126.36269676689702
345,862,1,182.36269676689702
346,183,1,144.36269676689702
348,71,1,181.36269676689702
350,1229,1,154.36269676689702
363,1398,1,160.36269676689702
364,1372,1,121.36269676689702
365,1214,1,111.36269676689702
370,859,1,126.36269676689702
370,1104,1,136.36269676689702
375,1883,1,180.36269676689702
376,1238,1,153.36269676689702
377,899,1,147.36269676689702
380,955,1,154.36269676689702
385,1185,1,146.36269676689702
385,1191,1,141.36269676689702
386,930,1,162.36269676689702
391,1171,1,142.36269676689702
393,1455,1,134.36269676689702
396,1947,1,174.36269676689702
401,675,1,154.36269676689702
403,1352,1,174.36269676689702
404,385,1,140.36269676689702
411,183,1,156.36269676689702
416,1421,1,118.36269676689702
417,1374,1,169.36269676689702
418,1196,1,124.36269676689702
425,876,1,135.36269676689702
426,1307,1,137.36269676689702
427,1439,1,124.36269676689702
429,889,1,134.36269676689702
430,1050,1,127.36269676689702
431,837,1,120.36269676689702
443,1425,1,117.36269676689702
448,928,1,141.36269676689702
450,747,1,131.36269676689702
452,1285,1,125.36269676689702
456,2010,1,115.36269676689702
458,410,1,126.36269676689702
459,626,1,149.36269676689702
468,1462,1,167.36269676689702
470,623,1,161.36269676689702
473,664,1,125.36269676689702
474,248,1,158.36269676689702
476,550,1,148.36269676689702
481,1375,1,119.36269676689702
485,1364,1,157.36269676689702
486,1460,1,151.36269676689702
490,817,1,126.36269676689702
490,1173,1,153.36269676689702
490,1353,1,114.36269676689702
498,637,1,155.36269676689702
499,1028,1,155.36269676689702
500,734,1,114.36269676689702
501,18,1,157.36269676689702
501,474,1,156.36269676689702
503,1067,1,118.36269676689702
503,1447,1,153.36269676689702
509,1798,1,183.36269676689702
510,1464,1,119.36269676689702
513,38,1,157.36269676689702
514,832,1,176.36269676689702
515,1148,1,123.36269676689702
515,1336,1,147.36269676689702
517,818,1,148.36269676689702
518,1396,1,129.36269676689702
519,984,1,162.36269676689702
522,1493,1,112.36269676689702
523,1284,1,129.36269676689702
526,1154,1,117.36269676689702
527,149,1,170.36269676689702
532,1182,1,133.36269676689702
534,1277,1,140.36269676689702
538,1035,1,161.36269676689702
539,1384,1,138.36269676689702
540,1374,1,151.36269676689702
541,1052,1,120.36269676689702
541,1751,1,158.36269676689702
542,376,1,158.36269676689702
542,1249,1,138.36269676689702
543,827,1,164.36269676689702
545,686,1,139.36269676689702
549,653,1,143.36269676689702
549,1264,1,128.36269676689702
551,1043,1,111.36269676689702
551,1635,1,161.36269676689702
553,394,1,157.36269676689702
553,1037,1,145.36269676689702
554,1292,1,117.36269676689702
554,1469,1,171.36269676689702
557,1238,1,113.36269676689702
560,1154,1,114.36269676689702
560,1244,1,156.36269676689702
562,986,1,110.36269676689702
564,1386,1,154.36269676689702
564,1421,1,119.36269676689702
566,149,1,161.36269676689702
569,792,1,146.36269676689702
570,833,1,134.36269676689702
571,744,1,185.36269676689702
571,1634,1,128.36269676689702
573,100,1,144.36269676689702
574,1854,1,135.36269676689702
580,388,1,137.36269676689702
582,662,1,156.36269676689702
583,956,1,120.36269676689702
584,1554,1,142.36269676689702
586,476,1,152.36269676689702
586,909,1,126.36269676689702
589,1001,1,153.36269676689702
591,223,1,161.36269676689702
593,1429,1,123.36269676689702
593,1917,1,163.36269676689702
594,1776,1,160.36269676689702
599,347,1,137.36269676689702
600,955,1,170.36269676689702
600,1245,1,115.36269676689702
602,514,1,170.36269676689702
602,949,1,122.36269676689702
604,1426,1,128.36269676689702
605,708,1,186.36269676689702
605,989,1,149.36269676689702
606,1449,1,127.36269676689702
608,950,1,161.36269676689702
608,1549,1,153.36269676689702
610,343,1,173.36269676689702
611,1197,1,137.36269676689702
615,1098,1,172.36269676689702
616,1762,1,184.36269676689702
617,1052,1,153.36269676689702
621,1407,1,120.36269676689702
623,765,1,142.36269676689702
623,1265,1,125.36269676689702
624,1131,1,127.36269676689702
629,1036,1,156.36269676689702
630,201,1,118.36269676689702
630,1496,1,154.36269676689702
631,287,1,156.36269676689702
634,229,1,147.36269676689702
635,1398,1,146.36269676689702
635,1863,1,149.36269676689702
638,1093,1,146.36269676689702
641,883,1,135.36269676689702
641,1030,1,138.36269676689702
642,1195,1,132.36269676689702
643,505,1,150.36269676689702
644,999,1,155.36269676689702
646,774,1,144.36269676689702
646,1837,1,135.36269676689702
647,462,1,144.36269676689702
647,1251,1,122.36269676689702
648,246,1,160.36269676689702
648,1155,1,129.36269676689702
650,1073,1,136.36269676689702
652,698,1,140.36269676689702
652,1224,1,151.36269676689702
655,777,1,156.36269676689702
657,554,1,126.36269676689702
664,1154,1,147.36269676689702
664,1230,1,127.36269676689702
664,1483,1,172.36269676689702
666,1713,1,127.36269676689702
668,1092,1,115.36269676689702
672,950,1,120.36269676689702
674,1258,1,164.36269676689702
678,890,1,153.36269676689702
679,460,1,150.36269676689702
680,1686,1,153.36269676689702
682,298,1,143.36269676689702
683,1297,1,181.36269676689702
684,1877,1,114.36269676689702
686,820,1,177.36269676689702
686,1063,1,116.36269676689702
693,1494,1,122.36269676689702
696,299,1,158.36269676689702
696,1489,1,125.36269676689702
699,469,1,145.36269676689702
700,410,1,113.36269676689702
701,988,1,151.36269676689702
702,1176,1,158.36269676689702
702,1750,1,153.36269676689702
706,1656,1,146.36269676689702
709,2033,1,151.36269676689702
711,1066,1,124.36269676689702
711,1134,1,113.36269676689702
715,881,1,117.36269676689702
716,350,1,110.36269676689702
723,242,1,125.36269676689702
723,1430,1,127.36269676689702
724,47,1,157.36269676689702
724,56,1,133.36269676689702
726,1325,1,118.36269676689702
726,1701,1,131.36269676689702
728,1328,1,129.36269676689702
728,1418,1,130.36269676689702
729,1291,1,117.36269676689702
733,1119,1,128.36269676689702
735,600,1,164.36269676689702
736,1074,1,123.36269676689702
738,1275,1,126.36269676689702
739,877,1,142.36269676689702
743,907,1,149.36269676689702
744,895,1,155.36269676689702
745,1326,1,114.36269676689702
745,1638,1,192.36269676689702
747,394,1,125.36269676689702
752,1573,1,139.36269676689702
754,1703,1,173.36269676689702
759,613,1,147.36269676689702
759,1384,1,132.36269676689702
761,1396,1,198.36269676689702
762,887,1,135.36269676689702
763,963,1,120.36269676689702
763,1095,1,138.36269676689702
764,1376,1,137.36269676689702
768,1310,1,117.36269676689702
769,757,1,140.36269676689702
771,1358,1,143.36269676689702
773,841,1,138.36269676689702
773,1765,1,177.36269676689702
774,318,1,148.36269676689702
775,747,1,200.36269676689702
778,1328,1,112.36269676689702
780,688,1,131.36269676689702
783,755,1,138.36269676689702
785,1661,1,135.36269676689702
785,1779,1,111.36269676689702
786,2040,1,128.36269676689702
789,1707,1,158.36269676689702
795,1657,1,127.36269676689702
796,1166,1,133.36269676689702
799,717,1,160.36269676689702
799,1496,1,111.36269676689702
801,1373,1,117.36269676689702
802,226,1,172.36269676689702
802,942,1,124.36269676689702
805,1257,1,131.36269676689702
805,1449,1,134.36269676689702
807,1184,1,136.36269676689702
808,1288,1,118.36269676689702
808,1743,1,145.36269676689702
809,1273,1,117.36269676689702
812,155,1,153.36269676689702
814,1004,1,129.36269676689702
814,1096,1,122.36269676689702
819,1375,1,139.36269676689702
820,283,1,165.36269676689702
820,1251,1,145.36269676689702
821,720,1,150.36269676689702
821,1382,1,134.36269676689702
823,648,1,151.36269676689702
824,757,1,123.36269676689702
827,878,1,158.36269676689702
827,1240,1,148.36269676689702
827,1391,1,115.36269676689702
831,1221,1,137.36269676689702
831,1289,1,137.36269676689702
832,808,1,138.36269676689702
833,226,1,147.36269676689702
833,1665,1,159.36269676689702
835,872,1,150.36269676689702
836,1112,1,152.36269676689702
837,726,1,155.36269676689702
837,812,1,157.36269676689702
840,985,1,147.36269676689702
841,715,1,123.36269676689702
842,453,1,144.36269676689702
843,850,1,182.36269676689702
843,1478,1,148.36269676689702
846,141,1,161.36269676689702
846,430,1,139.36269676689702
848,1452,1,132.36269676689702
849,1644,1,118.36269676689702
851,541,1,142.36269676689702
852,333,1,156.36269676689702
853,889,1,135.36269676689702
855,1993,1,110.36269676689702
857,844,1,149.36269676689702
857,991,1,156.36269676689702
858,1768,1,170.36269676689702
860,1938,1,135.36269676689702
860,2045,1,166.36269676689702
862,1049,1,133.36269676689702
862,1926,1,187.36269676689702
863,691,1,118.36269676689702
864,1030,1,147.36269676689702
864,1551,1,148.36269676689702
866,703,1,119.36269676689702
866,1381,1,141.36269676689702
867,965,1,136.36269676689702
869,1052,1,130.36269676689702
873,1242,1,120.36269676689702
874,242,1,153.36269676689702
875,1233,1,146.36269676689702
876,77,1,183.36269676689702
878,1166,1,129.36269676689702
878,1272,1,145.36269676689702
878,1776,1,116.36269676689702
879,1425,1,111.36269676689702
881,1063,1,119.36269676689702
884,175,1,131.36269676689702
885,1277,1,120.36269676689702
885,1286,1,121.36269676689702
889,216,1,132.36269676689702
890,1814,1,135.36269676689702
892,1352,1,130.36269676689702
894,1167,1,146.36269676689702
895,1316,1,112.36269676689702
896,1274,1,190.36269676689702
900,997,1,164.36269676689702
901,394,1,142.36269676689702
901,451,1,150.36269676689702
901,769,1,149.36269676689702
901,1276,1,160.36269676689702
902,1109,1,190.36269676689702
902,1129,1,124.36269676689702
905,801,1,144.36269676689702
906,1410,1,131.36269676689702
908,1252,1,121.36269676689702
909,432,1,121.36269676689702
909,978,1,148.36269676689702
910,1289,1,118.36269676689702
911,1172,1,141.36269676689702
912,105,1,124.36269676689702
912,749,1,143.36269676689702
912,1759,1,128.36269676689702
916,853,1,136.36269676689702
918,1442,1,126.36269676689702
920,643,1,126.36269676689702
921,1227,1,178.36269676689702
922,1339,1,157.36269676689702
922,1759,1,169.36269676689702
923,598,1,153.36269676689702
926,681,1,138.36269676689702
928,2036,1,139.36269676689702
929,863,1,136.36269676689702
930,1944,1,116.36269676689702
931,384,1,158.36269676689702
932,475,1,158.36269676689702
935,1265,1,159.36269676689702
942,1235,1,112.36269676689702
942,1872,1,133.36269676689702
947,1045,1,129.36269676689702
952,1053,1,151.36269676689702
954,869,1,110.36269676689702
954,1027,1,186.36269676689702
960,535,1,148.36269676689702
960,611,1,136.36269676689702
961,144,1,113.36269676689702
961,699,1,113.36269676689702
963,1338,1,154.36269676689702
965,1645,1,137.36269676689702
966,1137,1,132.36269676689702
967,715,1,162.36269676689702
968,191,1,156.36269676689702
969,410,1,160.36269676689702
969,1206,1,117.36269676689702
971,832,1,146.36269676689702
972,508,1,143.36269676689702
976,959,1,112.36269676689702
976,963,1,128.36269676689702
976,1440,1,152.36269676689702
976,1476,1,129.36269676689702
976,1934,1,133.36269676689702
979,1836,1,141.36269676689702
981,1035,1,143.36269676689702
983,1084,1,140.36269676689702
983,1250,1,137.36269676689702
984,1352,1,147.36269676689702
987,896,1,111.36269676689702
987,1109,1,115.36269676689702
988,164,1,116.36269676689702
991,1063,1,143.36269676689702
991,1422,1,121.36269676689702
992,800,1,164.36269676689702
992,1994,1,187.36269676689702
994,1392,1,170.36269676689702
994,1509,1,120.36269676689702
995,775,1,126.36269676689702
999,1229,1,112.36269676689702
1000,1069,1,140.36269676689702
1002,568,1,138.36269676689702
1002,1414,1,138.36269676689702
1003,1178,1,117.36269676689702
1004,1181,1,129.36269676689702
1004,1307,1,123.36269676689702
1005,1428,1,128.36269676689702
1006,1732,1,164.36269676689702
1007,417,1,155.36269676689702
1008,1282,1,126.36269676689702
1011,1127,1,147.36269676689702
1011,1186,1,129.36269676689702
