X,Y,Cluster Size,ADU Value
104,284,1,150.50580328896922
120,1295,1,175.50580328896922
124,1391,1,192.50580328896922
126,1849,1,141.50580328896922
130,1147,1,169.50580328896922
136,1270,1,148.50580328896922
144,2026,1,161.50580328896922
154,1006,1,144.50580328896922
165,1002,1,147.50580328896922
169,1143,1,153.50580328896922
181,1352,1,114.50580328896922
185,1492,1,166.50580328896922
186,1424,1,137.50580328896922
189,1633,1,190.50580328896922
209,295,1,167.50580328896922
216,424,1,142.50580328896922
221,370,1,147.50580328896922
225,1454,1,150.50580328896922
225,1667,1,147.50580328896922
226,527,1,145.50580328896922
229,654,1,151.50580328896922
231,620,1,161.50580328896922
233,786,1,123.50580328896922
234,1384,1,164.50580328896922
238,1259,1,131.50580328896922
239,706,1,159.50580328896922
247,1807,1,156.50580328896922
248,1393,1,136.50580328896922
256,1085,1,148.50580328896922
256,1248,1,122.50580328896922
258,1019,1,162.50580328896922
261,1246,1,111.50580328896922
265,216,1,156.50580328896922
265,726,1,140.50580328896922
267,636,1,156.50580328896922
270,1225,1,131.50580328896922
271,712,1,148.50580328896922
283,2002,1,122.50580328896922
291,230,1,162.50580328896922
295,891,1,160.50580328896922
297,205,1,167.50580328896922
297,312,1,157.50580328896922
298,587,1,146.50580328896922
299,1153,1,168.50580328896922
302,286,1,147.50580328896922
303,1536,1,180.50580328896922
305,1343,1,129.50580328896922
310,850,1,159.50580328896922
312,402,1,183.50580328896922
313,555,1,166.50580328896922
316,829,1,142.50580328896922
317,1801,1,146.50580328896922
319,1085,1,111.50580328896922
319,1115,1,121.50580328896922
320,260,1,179.50580328896922
330,894,1,142.50580328896922
339,1747,1,169.50580328896922
343,730,1,130.50580328896922
345,31,1,157.50580328896922
346,698,1,145.50580328896922
346,1210,1,116.50580328896922
347,617,1,134.50580328896922
352,645,1,147.50580328896922
358,850,1,170.50580328896922
360,301,1,161.50580328896922
361,1079,1,146.50580328896922
361,1437,1,151.50580328896922
363,1531,1,142.50580328896922
368,691,1,140.50580328896922
373,90,1,166.50580328896922
376,830,1,137.50580328896922
378,1186,1,157.50580328896922
380,703,1,139.50580328896922
380,1180,1,130.50580328896922
381,1212,1,124.50580328896922
381,1306,1,179.50580328896922
387,340,1,156.50580328896922
