X,Y,Photon Count,ADU Value
0,174,2,22.50580328896922
1,173,2,21.50580328896922
1,174,2,57.50580328896922
1,175,2,45.50580328896922
2,174,2,27.50580328896922
2,175,2,21.50580328896922
0,215,2,20.50580328896922
1,215,2,27.50580328896922
1,216,2,27.50580328896922
2,215,2,71.50580328896922
2,216,2,35.50580328896922
0,215,2,20.50580328896922
1,215,2,27.50580328896922
1,216,2,27.50580328896922
2,215,2,71.50580328896922
2,216,2,35.50580328896922
0,621,2,44.50580328896922
0,622,2,54.50580328896922
1,622,2,32.50580328896922
2,622,2,24.50580328896922
0,732,2,25.50580328896922
0,733,2,126.50580328896922
1,732,2,21.50580328896922
2,733,2,26.50580328896922
0,732,3,25.50580328896922
0,733,3,126.50580328896922
0,734,3,43.50580328896922
1,732,3,21.50580328896922
1,734,3,27.50580328896922
2,733,3,26.50580328896922
0,733,2,126.50580328896922
0,734,2,43.50580328896922
1,734,2,27.50580328896922
2,733,2,26.50580328896922
0,793,2,21.50580328896922
0,794,2,22.50580328896922
1,795,2,31.50580328896922
2,794,2,47.50580328896922
2,795,2,83.50580328896922
0,794,2,22.50580328896922
1,795,2,31.50580328896922
1,796,2,32.50580328896922
2,794,2,47.50580328896922
2,795,2,83.50580328896922
0,797,2,31.50580328896922
1,795,2,31.50580328896922
1,796,2,32.50580328896922
2,795,2,83.50580328896922
0,880,3,20.50580328896922
0,882,3,57.50580328896922
1,882,3,184.50580328896922
0,882,3,57.50580328896922
0,883,3,43.50580328896922
1,882,3,184.50580328896922
1,883,3,31.50580328896922
0,882,3,57.50580328896922
0,883,3,43.50580328896922
0,884,3,22.50580328896922
1,882,3,184.50580328896922
1,883,3,31.50580328896922
0,932,2,86.50580328896922
0,934,2,28.50580328896922
1,932,2,24.50580328896922
1,933,2,26.50580328896922
0,1049,2,23.50580328896922
0,1050,2,38.50580328896922
1,1048,2,24.50580328896922
1,1049,2,28.50580328896922
1,1050,2,65.50580328896922
2,1050,2,28.50580328896922
0,1050,2,38.50580328896922
1,1050,2,65.50580328896922
1,1051,2,33.50580328896922
2,1050,2,28.50580328896922
0,1063,2,76.50580328896922
0,1064,2,32.50580328896922
1,1062,2,25.50580328896922
1,1063,2,41.50580328896922
1,1064,2,32.50580328896922
0,1147,2,28.50580328896922
1,1146,2,36.50580328896922
1,1147,2,97.50580328896922
2,1146,2,27.50580328896922
2,1147,2,23.50580328896922
0,1147,2,28.50580328896922
0,1148,2,28.50580328896922
1,1146,2,36.50580328896922
1,1147,2,97.50580328896922
2,1146,2,27.50580328896922
2,1147,2,23.50580328896922
0,1195,2,22.50580328896922
0,1197,2,63.50580328896922
1,1196,2,28.50580328896922
1,1197,2,52.50580328896922
2,1195,2,22.50580328896922
0,1197,2,63.50580328896922
0,1198,2,33.50580328896922
1,1196,2,28.50580328896922
1,1197,2,52.50580328896922
1,1198,2,28.50580328896922
2,1198,2,25.50580328896922
0,1202,2,32.50580328896922
0,1203,2,22.50580328896922
1,1204,2,23.50580328896922
2,1204,2,150.50580328896922
0,1203,2,22.50580328896922
1,1204,2,23.50580328896922
1,1205,2,24.50580328896922
2,1204,2,150.50580328896922
0,1206,2,26.50580328896922
1,1204,2,23.50580328896922
1,1205,2,24.50580328896922
2,1204,2,150.50580328896922
0,1258,2,42.50580328896922
0,1259,2,69.50580328896922
1,1258,2,25.50580328896922
2,1258,2,22.50580328896922
0,1258,2,42.50580328896922
0,1259,2,69.50580328896922
0,1260,2,22.50580328896922
