X,Y,Photon Count,ADU Value
0,529,2,21.23305725030974
1,529,2,42.23305725030974
1,530,2,57.23305725030974
2,530,2,44.23305725030974
2,531,2,23.23305725030974
0,719,2,25.23305725030974
1,720,2,54.23305725030974
1,721,2,36.23305725030974
2,719,2,35.23305725030974
2,720,2,32.23305725030974
1,1324,2,20.23305725030974
2,1323,2,31.23305725030974
2,1324,2,76.23305725030974
3,1323,2,28.23305725030974
3,1324,2,51.23305725030974
1,1324,2,20.23305725030974
2,1323,2,31.23305725030974
2,1324,2,76.23305725030974
3,1323,2,28.23305725030974
3,1324,2,51.23305725030974
2,1323,2,31.23305725030974
2,1324,2,76.23305725030974
3,1323,2,28.23305725030974
3,1324,2,51.23305725030974
4,1323,2,22.23305725030974
2,1323,2,31.23305725030974
2,1324,2,76.23305725030974
3,1323,2,28.23305725030974
3,1324,2,51.23305725030974
4,1323,2,22.23305725030974
4,1028,2,36.23305725030974
4,1029,2,54.23305725030974
5,1028,2,26.23305725030974
5,1029,2,59.23305725030974
3,1332,2,24.23305725030974
4,1333,2,27.23305725030974
5,1332,2,135.23305725030974
5,1333,2,21.23305725030974
3,1332,2,24.23305725030974
4,1333,2,27.23305725030974
5,1332,2,135.23305725030974
5,1333,2,21.23305725030974
3,1543,2,21.23305725030974
3,1544,2,21.23305725030974
5,1544,2,149.23305725030974
4,1333,2,27.23305725030974
5,1332,2,135.23305725030974
5,1333,2,21.23305725030974
6,1332,2,26.23305725030974
4,1333,2,27.23305725030974
5,1332,2,135.23305725030974
5,1333,2,21.23305725030974
6,1332,2,26.23305725030974
6,679,2,151.23305725030974
6,679,2,151.23305725030974
5,1013,2,23.23305725030974
6,1012,2,50.23305725030974
6,1013,2,31.23305725030974
7,1012,2,30.23305725030974
7,1013,2,63.23305725030974
5,1271,2,21.23305725030974
5,1272,2,69.23305725030974
6,1271,2,36.23305725030974
6,1272,2,42.23305725030974
5,1720,2,21.23305725030974
6,1720,2,27.23305725030974
7,1721,2,28.23305725030974
7,1722,2,123.23305725030974
6,1012,2,50.23305725030974
6,1013,2,31.23305725030974
7,1012,2,30.23305725030974
7,1013,2,63.23305725030974
8,1013,2,27.23305725030974
6,1012,2,50.23305725030974
6,1013,2,31.23305725030974
7,1012,2,30.23305725030974
7,1013,2,63.23305725030974
8,1013,2,27.23305725030974
8,1014,2,22.23305725030974
6,1433,2,26.23305725030974
6,1434,2,29.23305725030974
7,1433,2,65.23305725030974
7,1434,2,23.23305725030974
8,1433,2,35.23305725030974
6,1673,2,22.23305725030974
7,1672,2,43.23305725030974
8,1672,2,67.23305725030974
8,1673,2,26.23305725030974
8,1674,2,27.23305725030974
10,322,2,44.23305725030974
10,323,2,23.23305725030974
11,321,2,32.23305725030974
11,322,2,57.23305725030974
9,1447,2,29.23305725030974
10,1445,2,52.23305725030974
10,1446,2,30.23305725030974
10,1447,2,48.23305725030974
11,1446,2,54.23305725030974
10,897,2,22.23305725030974
11,898,2,38.23305725030974
11,899,2,72.23305725030974
12,897,2,29.23305725030974
12,898,2,26.23305725030974
12,899,2,24.23305725030974
10,1444,2,36.23305725030974
10,1445,2,52.23305725030974
10,1446,2,30.23305725030974
11,1446,2,54.23305725030974
12,1446,2,54.23305725030974
10,1445,2,52.23305725030974
10,1446,2,30.23305725030974
10,1447,2,48.23305725030974
11,1446,2,54.23305725030974
12,1446,2,54.23305725030974
10,1446,2,30.23305725030974
10,1447,2,48.23305725030974
11,1446,2,54.23305725030974
12,1446,2,54.23305725030974
10,1457,2,27.23305725030974
12,1458,2,25.23305725030974
12,1459,2,154.23305725030974
11,898,2,38.23305725030974
11,899,2,72.23305725030974
12,897,2,29.23305725030974
12,898,2,26.23305725030974
12,899,2,24.23305725030974
11,970,1,23.23305725030974
12,970,1,76.23305725030974
12,971,1,50.23305725030974
12,1458,2,25.23305725030974
12,1459,2,154.23305725030974
13,1457,2,24.23305725030974
13,1459,2,20.23305725030974
13,914,2,42.23305725030974
13,915,2,65.23305725030974
14,914,2,24.23305725030974
14,915,2,28.23305725030974
