X,Y,Cluster Size,ADU Value
20,811,1,143.23305725030974
35,491,1,131.23305725030974
40,736,1,147.23305725030974
49,1405,1,143.23305725030974
50,1634,1,141.23305725030974
70,362,1,168.23305725030974
92,1062,1,157.23305725030974
100,1040,1,139.23305725030974
103,1019,1,141.23305725030974
109,1426,1,127.23305725030974
121,691,1,142.23305725030974
135,1985,1,154.23305725030974
148,47,1,154.23305725030974
156,621,1,137.23305725030974
159,1360,1,136.23305725030974
165,1108,1,154.23305725030974
166,981,1,148.23305725030974
166,1068,1,164.23305725030974
178,692,1,122.23305725030974
178,1318,1,175.23305725030974
178,1947,1,141.23305725030974
185,1506,1,151.23305725030974
189,1233,1,132.23305725030974
197,667,1,123.23305725030974
206,595,1,146.23305725030974
208,1204,1,115.23305725030974
211,1378,1,112.23305725030974
217,198,1,134.23305725030974
217,1437,1,158.23305725030974
217,1455,1,117.23305725030974
228,1425,1,128.23305725030974
242,49,1,158.23305725030974
251,453,1,165.23305725030974
253,519,1,146.23305725030974
260,1394,1,114.23305725030974
263,663,1,184.23305725030974
266,1784,1,164.23305725030974
269,590,1,153.23305725030974
269,1583,1,141.23305725030974
276,1027,1,159.23305725030974
278,1295,1,113.23305725030974
278,1705,1,151.23305725030974
281,1383,1,120.23305725030974
285,569,1,146.23305725030974
286,774,1,138.23305725030974
291,1215,1,159.23305725030974
294,1416,1,118.23305725030974
299,587,1,171.23305725030974
299,864,1,139.23305725030974
302,561,1,142.23305725030974
307,180,1,153.23305725030974
310,395,1,126.23305725030974
311,1436,1,132.23305725030974
318,1230,1,128.23305725030974
321,1270,1,133.23305725030974
323,1084,1,135.23305725030974
327,1146,1,116.23305725030974
333,1379,1,116.23305725030974
334,961,1,131.23305725030974
343,913,1,124.23305725030974
343,1640,1,156.23305725030974
350,1450,1,164.23305725030974
353,1187,1,131.23305725030974
354,759,1,135.23305725030974
356,1319,1,126.23305725030974
357,1413,1,123.23305725030974
359,1388,1,116.23305725030974
363,472,1,150.23305725030974
366,1216,1,142.23305725030974
368,1275,1,132.23305725030974
370,979,1,154.23305725030974
371,713,1,146.23305725030974
371,1912,1,153.23305725030974
381,125,1,116.23305725030974
391,284,1,149.23305725030974
391,1507,1,167.23305725030974
405,888,1,134.23305725030974
408,1416,1,127.23305725030974
415,420,1,150.23305725030974
417,1276,1,135.23305725030974
420,1927,1,115.23305725030974
421,1354,1,141.23305725030974
424,1390,1,152.23305725030974
425,1080,1,138.23305725030974
427,1741,1,136.23305725030974
437,1004,1,139.23305725030974
441,1143,1,170.23305725030974
442,582,1,138.23305725030974
451,158,1,149.23305725030974
451,1173,1,155.23305725030974
457,1320,1,112.23305725030974
458,1719,1,152.23305725030974
458,1724,1,127.23305725030974
