X,Y,Photon Count,ADU Value
0,0,2,35.884822635995825
0,2,2,39.884822635995825
1,0,2,24.884822635995825
1,2,2,41.884822635995825
2,0,2,24.884822635995825
2,2,2,44.884822635995825
1,0,2,24.884822635995825
1,2,2,41.884822635995825
2,0,2,24.884822635995825
2,2,2,44.884822635995825
3,0,2,21.884822635995825
3,2,2,42.884822635995825
7,1482,2,20.884822635995825
8,1482,2,112.88482263599582
8,1483,2,33.884822635995825
7,0,2,25.884822635995825
7,2,2,35.884822635995825
8,0,2,22.884822635995825
8,2,2,36.884822635995825
9,0,2,31.884822635995825
9,2,2,46.884822635995825
7,1482,2,20.884822635995825
8,1480,2,21.884822635995825
8,1482,2,112.88482263599582
9,1480,2,21.884822635995825
9,1481,2,23.884822635995825
7,1482,2,20.884822635995825
8,1482,2,112.88482263599582
8,1483,2,33.884822635995825
9,1481,2,23.884822635995825
7,1769,2,32.884822635995825
7,1770,2,47.884822635995825
8,1770,2,38.884822635995825
9,1770,2,20.884822635995825
9,1771,2,28.884822635995825
8,0,2,22.884822635995825
8,2,2,36.884822635995825
9,0,2,31.884822635995825
9,2,2,46.884822635995825
10,0,2,22.884822635995825
10,2,2,43.884822635995825
8,1480,2,21.884822635995825
8,1482,2,112.88482263599582
9,1480,2,21.884822635995825
9,1481,2,23.884822635995825
8,1482,2,112.88482263599582
8,1483,2,33.884822635995825
9,1481,2,23.884822635995825
9,0,2,31.884822635995825
9,2,2,46.884822635995825
10,0,2,22.884822635995825
10,2,2,43.884822635995825
11,0,2,24.884822635995825
11,2,2,32.884822635995825
10,2,2,43.884822635995825
10,4,2,22.884822635995825
11,2,2,32.884822635995825
12,2,2,43.884822635995825
12,4,2,22.884822635995825
11,2,1,32.884822635995825
12,2,1,43.884822635995825
12,4,1,22.884822635995825
13,2,1,41.884822635995825
12,1306,1,21.884822635995825
12,1308,1,45.884822635995825
13,1308,1,52.884822635995825
11,1309,2,23.884822635995825
12,1308,2,45.884822635995825
12,1309,2,31.884822635995825
13,1308,2,52.884822635995825
12,1308,1,45.884822635995825
12,1309,1,31.884822635995825
13,1308,1,52.884822635995825
12,1811,2,20.884822635995825
12,1812,2,20.884822635995825
12,1813,2,29.884822635995825
13,1812,2,25.884822635995825
14,1811,2,22.884822635995825
14,1812,2,23.884822635995825
14,1813,2,21.884822635995825
16,0,2,29.884822635995825
16,2,2,40.884822635995825
17,0,2,25.884822635995825
17,2,2,41.884822635995825
18,0,2,25.884822635995825
18,2,2,45.884822635995825
17,0,2,25.884822635995825
17,2,2,41.884822635995825
18,0,2,25.884822635995825
18,2,2,45.884822635995825
19,0,2,30.884822635995825
19,2,2,42.884822635995825
18,602,2,22.884822635995825
18,604,2,34.884822635995825
19,604,2,22.884822635995825
20,603,2,35.884822635995825
20,604,2,40.884822635995825
18,604,2,34.884822635995825
19,604,2,22.884822635995825
20,603,2,35.884822635995825
20,604,2,40.884822635995825
20,605,2,20.884822635995825
22,2,1,38.884822635995825
23,2,1,41.884822635995825
24,2,1,31.884822635995825
24,4,1,25.884822635995825
24,2,2,31.884822635995825
24,4,2,25.884822635995825
25,2,2,32.884822635995825
25,4,2,30.884822635995825
26,2,2,46.884822635995825
25,0,2,29.884822635995825
25,2,2,32.884822635995825
26,0,2,20.884822635995825
26,2,2,46.884822635995825
27,0,2,22.884822635995825
27,2,2,48.884822635995825
26,0,2,20.884822635995825
26,2,2,46.884822635995825
27,0,2,22.884822635995825
