X,Y,Photon Count,ADU Value
0,0,2,32.50956188281903
0,2,2,35.50956188281903
1,0,2,26.50956188281903
1,2,2,42.50956188281903
2,0,2,20.50956188281903
2,2,2,41.50956188281903
1,652,2,46.50956188281903
1,653,2,87.50956188281903
2,652,2,34.50956188281903
0,962,2,161.509561882819
1,961,2,27.50956188281903
0,962,3,161.509561882819
0,963,3,22.50956188281903
1,961,3,27.50956188281903
1,963,3,21.50956188281903
2,963,3,20.50956188281903
0,962,3,161.509561882819
0,963,3,22.50956188281903
1,963,3,21.50956188281903
1,964,3,24.50956188281903
2,963,3,20.50956188281903
2,964,3,31.50956188281903
0,1001,2,62.50956188281903
1,1000,2,29.50956188281903
1,1001,2,58.50956188281903
2,999,2,24.50956188281903
2,1000,2,22.50956188281903
0,1001,2,62.50956188281903
0,1002,2,27.50956188281903
1,1000,2,29.50956188281903
1,1001,2,58.50956188281903
2,1000,2,22.50956188281903
0,1216,2,27.50956188281903
0,1217,2,32.50956188281903
1,1216,2,49.50956188281903
1,1217,2,70.50956188281903
2,1217,2,24.50956188281903
0,1328,2,21.50956188281903
0,1329,2,27.50956188281903
0,1330,2,28.50956188281903
1,1329,2,54.50956188281903
1,1330,2,60.50956188281903
0,1405,2,54.50956188281903
0,1406,2,69.50956188281903
0,1407,2,60.50956188281903
1,1405,2,32.50956188281903
1,1407,2,23.50956188281903
0,1679,2,25.50956188281903
0,1680,2,24.50956188281903
1,1681,2,23.50956188281903
2,1679,2,69.50956188281903
2,1680,2,57.50956188281903
1,1837,2,20.50956188281903
1,1838,2,20.50956188281903
1,1839,2,77.50956188281903
2,1837,2,25.50956188281903
2,1839,2,49.50956188281903
1,1838,2,20.50956188281903
1,1839,2,77.50956188281903
2,1839,2,49.50956188281903
2,1840,2,31.50956188281903
1,1839,2,77.50956188281903
2,1839,2,49.50956188281903
2,1840,2,31.50956188281903
1,651,2,24.50956188281903
1,652,2,46.50956188281903
1,653,2,87.50956188281903
2,652,2,34.50956188281903
1,652,2,46.50956188281903
1,653,2,87.50956188281903
2,652,2,34.50956188281903
3,654,2,21.50956188281903
1,1103,2,20.50956188281903
2,1102,2,37.50956188281903
2,1103,2,67.50956188281903
3,1102,2,31.50956188281903
3,1103,2,33.50956188281903
1,1103,2,20.50956188281903
2,1102,2,37.50956188281903
2,1103,2,67.50956188281903
2,1104,2,21.50956188281903
3,1102,2,31.50956188281903
3,1103,2,33.50956188281903
2,1679,2,69.50956188281903
2,1680,2,57.50956188281903
3,1678,2,31.50956188281903
3,1679,2,59.50956188281903
1,1681,2,23.50956188281903
2,1679,2,69.50956188281903
2,1680,2,57.50956188281903
3,1679,2,59.50956188281903
1,1837,2,20.50956188281903
1,1838,2,20.50956188281903
1,1839,2,77.50956188281903
2,1837,2,25.50956188281903
2,1839,2,49.50956188281903
3,1838,2,24.50956188281903
1,1838,2,20.50956188281903
1,1839,2,77.50956188281903
2,1839,2,49.50956188281903
2,1840,2,31.50956188281903
3,1838,2,24.50956188281903
1,1887,2,62.50956188281903
1,1889,2,24.50956188281903
2,1887,2,45.50956188281903
2,1889,2,32.50956188281903
3,1887,2,24.50956188281903
2,199,1,21.50956188281903
3,200,1,87.50956188281903
4,200,1,39.50956188281903
2,202,1,20.50956188281903
3,200,1,87.50956188281903
4,200,1,39.50956188281903
3,607,2,28.50956188281903
3,608,2,70.50956188281903
3,609,2,41.50956188281903
4,608,2,39.50956188281903
2,610,2,20.50956188281903
3,608,2,70.50956188281903
3,609,2,41.50956188281903
4,608,2,39.50956188281903
2,831,2,25.50956188281903
3,830,2,25.50956188281903
3,831,2,40.50956188281903
4,830,2,35.50956188281903
4,831,2,36.50956188281903
