X,Y,Cluster Size,ADU Value
9,559,1,215.509561882819
65,417,1,152.509561882819
86,1520,1,181.509561882819
101,1105,1,159.509561882819
134,1161,1,155.509561882819
143,1829,1,126.50956188281903
146,362,1,159.509561882819
147,1956,1,155.509561882819
151,1316,1,123.50956188281903
153,1336,1,130.509561882819
153,1382,1,137.509561882819
154,434,1,160.509561882819
169,909,1,142.509561882819
171,730,1,152.509561882819
172,238,1,132.509561882819
173,1568,1,172.509561882819
175,1437,1,125.50956188281903
187,229,1,140.509561882819
193,1193,1,173.509561882819
194,1477,1,151.509561882819
195,1173,1,123.50956188281903
197,1230,1,162.509561882819
198,1579,1,157.509561882819
200,1034,1,167.509561882819
202,1225,1,157.509561882819
203,1791,1,146.509561882819
204,1297,1,121.50956188281903
208,653,1,156.509561882819
214,671,1,131.509561882819
218,664,1,147.509561882819
221,1445,1,154.509561882819
223,851,1,147.509561882819
226,1342,1,124.50956188281903
228,476,1,156.509561882819
233,729,1,162.509561882819
235,514,1,125.50956188281903
237,1845,1,193.509561882819
238,1161,1,172.509561882819
241,1436,1,148.509561882819
251,1284,1,137.509561882819
253,320,1,153.509561882819
253,896,1,143.509561882819
255,1892,1,126.50956188281903
259,314,1,165.509561882819
264,1302,1,152.509561882819
268,907,1,142.509561882819
269,1180,1,161.509561882819
271,951,1,156.509561882819
277,1808,1,137.509561882819
279,354,1,158.509561882819
284,139,1,161.509561882819
284,1870,1,122.50956188281903
292,1387,1,149.509561882819
294,467,1,160.509561882819
294,834,1,133.509561882819
294,1834,1,144.509561882819
295,1101,1,155.509561882819
298,575,1,125.50956188281903
304,1384,1,171.509561882819
304,1929,1,152.509561882819
305,1041,1,162.509561882819
307,1794,1,156.509561882819
309,561,1,145.509561882819
310,1219,1,120.50956188281903
311,1065,1,127.50956188281903
312,848,1,160.509561882819
313,487,1,113.50956188281903
314,10,1,138.509561882819
317,304,1,194.509561882819
317,924,1,112.50956188281903
317,1354,1,136.509561882819
319,599,1,158.509561882819
319,1627,1,180.509561882819
320,161,1,156.509561882819
323,1921,1,182.509561882819
325,1087,1,137.509561882819
325,1228,1,144.509561882819
326,292,1,191.509561882819
329,1075,1,121.50956188281903
329,1333,1,125.50956188281903
330,241,1,145.509561882819
336,792,1,134.509561882819
336,1581,1,121.50956188281903
339,1075,1,147.509561882819
345,98,1,150.509561882819
346,874,1,141.509561882819
349,1023,1,131.509561882819
352,1792,1,183.509561882819
356,291,1,141.509561882819
357,799,1,146.509561882819
357,1340,1,117.50956188281903
358,772,1,135.509561882819
358,1289,1,134.509561882819
361,884,1,132.509561882819
363,1976,1,152.509561882819
364,1206,1,127.50956188281903
365,142,1,160.509561882819
365,581,1,160.509561882819
366,700,1,142.509561882819
366,1149,1,135.509561882819
369,279,1,154.509561882819
373,1366,1,154.509561882819
374,872,1,153.509561882819
374,1909,1,176.509561882819
375,971,1,167.509561882819
375,1484,1,129.509561882819
376,728,1,112.50956188281903
377,445,1,130.509561882819
377,593,1,145.509561882819
377,619,1,157.509561882819
379,887,1,128.509561882819
379,1520,1,136.509561882819
380,839,1,178.509561882819
380,1268,1,112.50956188281903
381,774,1,132.509561882819
383,317,1,152.509561882819
385,988,1,146.509561882819
385,1366,1,181.509561882819
386,1234,1,127.50956188281903
386,1951,1,174.509561882819
