X,Y,Photon Count,ADU Value
0,1313,2,24.731653883826603
1,1312,2,27.731653883826603
1,1313,2,25.731653883826603
1,1314,2,30.731653883826603
2,1312,2,28.731653883826603
2,1313,2,63.7316538838266
0,1313,2,24.731653883826603
0,1315,2,24.731653883826603
1,1313,2,25.731653883826603
1,1314,2,30.731653883826603
2,1313,2,63.7316538838266
1,1312,2,27.731653883826603
1,1313,2,25.731653883826603
1,1314,2,30.731653883826603
2,1312,2,28.731653883826603
2,1313,2,63.7316538838266
3,1313,2,21.731653883826603
2,1312,2,28.731653883826603
2,1313,2,63.7316538838266
3,1313,2,21.731653883826603
4,1312,2,20.731653883826603
4,1314,2,27.731653883826603
3,2,2,40.7316538838266
3,4,2,32.7316538838266
4,2,2,35.7316538838266
5,2,2,34.7316538838266
5,3,2,23.731653883826603
5,4,2,25.731653883826603
4,0,2,30.731653883826603
4,2,2,35.7316538838266
5,0,2,27.731653883826603
5,2,2,34.7316538838266
6,0,2,32.7316538838266
6,2,2,38.7316538838266
5,1236,2,23.731653883826603
6,1235,2,27.731653883826603
7,1235,2,44.7316538838266
7,1236,2,54.7316538838266
7,1237,2,21.731653883826603
6,1235,2,27.731653883826603
7,1235,2,44.7316538838266
7,1236,2,54.7316538838266
8,1236,2,39.7316538838266
7,1235,2,44.7316538838266
7,1236,2,54.7316538838266
7,1237,2,21.731653883826603
8,1236,2,39.7316538838266
8,1237,2,20.731653883826603
9,1462,2,20.731653883826603
9,1464,2,22.731653883826603
10,1462,2,31.731653883826603
10,1463,2,28.731653883826603
10,1464,2,26.731653883826603
11,1462,2,23.731653883826603
11,1463,2,30.731653883826603
11,1464,2,39.7316538838266
10,897,2,22.731653883826603
10,898,2,21.731653883826603
10,899,2,25.731653883826603
11,897,2,27.731653883826603
11,898,2,24.731653883826603
11,899,2,21.731653883826603
12,898,2,29.731653883826603
11,1259,2,26.731653883826603
11,1260,2,34.7316538838266
12,1259,2,33.7316538838266
12,1260,2,65.7316538838266
11,1259,2,26.731653883826603
11,1260,2,34.7316538838266
11,1261,2,28.731653883826603
12,1259,2,33.7316538838266
12,1260,2,65.7316538838266
10,1462,2,31.731653883826603
10,1463,2,28.731653883826603
10,1464,2,26.731653883826603
11,1462,2,23.731653883826603
11,1463,2,30.731653883826603
11,1464,2,39.7316538838266
12,1463,2,23.731653883826603
12,1464,2,21.731653883826603
11,1259,2,26.731653883826603
11,1260,2,34.7316538838266
12,1259,2,33.7316538838266
