X,Y,Cluster Size,ADU Value
458,1069,1,143.7316538838266
651,707,1,140.7316538838266
855,1418,1,132.7316538838266
968,1290,1,127.7316538838266
1152,1269,1,120.7316538838266
1175,1392,1,116.7316538838266
1245,696,1,188.7316538838266
1267,1445,1,110.7316538838266
1338,1401,1,125.7316538838266
1448,1535,1,135.7316538838266
1483,1001,1,122.7316538838266
1490,1210,1,116.7316538838266
1855,1478,1,114.7316538838266
1892,1156,1,131.7316538838266
102,1402,2,163.4633077676532
640,1419,2,124.46330776765319
678,735,2,124.46330776765319
1121,1111,2,119.46330776765319
1258,1794,2,142.4633077676532
1339,634,2,161.4633077676532
1428,1453,2,110.46330776765319
1556,1294,2,119.46330776765319
1601,320,2,119.46330776765319
1640,1435,2,110.46330776765319
1694,1353,2,154.4633077676532
1733,269,2,165.4633077676532
1885,1400,2,112.46330776765319
1893,1316,2,119.46330776765319
1991,1497,2,125.46330776765319
2009,1322,2,138.4633077676532
2045,698,2,154.4633077676532
51,1383,3,112.19496165147979
65,1249,3,142.1949616514798
110,1404,3,110.19496165147979
114,1818,3,112.1949616514798
199,1464,3,128.1949616514798
203,1152,3,118.19496165147982
252,1433,3,163.1949616514798
252,1375,3,129.1949616514798
448,1411,3,127.19496165147982
481,1421,3,120.19496165147979
500,1431,3,120.19496165147979
566,1299,3,110.19496165147982
595,1424,3,115.1949616514798
635,1436,3,112.19496165147982
655,1427,3,119.19496165147979
660,1285,3,133.19496165147982
765,1119,3,114.19496165147979
859,1357,3,138.1949616514798
942,1398,3,129.1949616514798
1003,939,3,111.19496165147982
1289,1485,3,113.19496165147982
1349,293,3,113.19496165147982
1416,1337,3,122.19496165147979
1872,997,3,111.19496165147979
2002,1368,3,110.19496165147982
2017,1491,3,116.19496165147979
2033,1494,3,123.19496165147982
0,611,4,121.92661553530641
1,2,4,111.92661553530641
2,1313,4,123.92661553530641
7,1236,4,143.9266155353064
12,1260,4,160.9266155353064
11,1464,4,115.92661553530641
16,1265,4,112.92661553530641
16,1667,4,110.92661553530641
22,460,4,123.92661553530641
24,1674,4,111.92661553530641
26,1123,4,141.9266155353064
30,1427,4,123.92661553530641
32,1377,4,136.9266155353064
31,1427,4,117.92661553530641
32,1193,4,120.92661553530641
45,1503,4,150.9266155353064
45,1348,4,149.9266155353064
46,1597,4,134.9266155353064
50,1194,4,147.9266155353064
54,2,4,117.92661553530641
74,1159,4,126.92661553530641
99,2,4,121.92661553530641
102,1482,4,148.9266155353064
117,1571,4,149.9266155353064
122,1176,4,129.9266155353064
123,2,4,110.92661553530641
128,1014,4,113.92661553530641
134,1427,4,113.92661553530641
144,2,4,110.92661553530641
147,268,4,123.92661553530641
154,1390,4,172.9266155353064
157,1435,4,143.9266155353064
187,1040,4,146.9266155353064
198,1302,4,135.9266155353064
207,1471,4,129.9266155353064
223,1092,4,128.9266155353064
270,1472,4,114.92661553530641
328,1403,4,131.9266155353064
404,1420,4,122.92661553530641
445,1357,4,121.92661553530641
478,1338,4,113.92661553530641
552,1269,4,113.92661553530641
608,1381,4,116.92661553530641
609,1454,4,111.92661553530641
753,1095,4,122.92661553530641
770,1257,4,111.92661553530641
834,875,4,124.92661553530641
1090,1823,4,151.9266155353064
1583,1375,4,128.9266155353064
1718,1268,4,112.92661553530641
1749,1390,4,111.92661553530641
1792,1376,4,118.92661553530641
1835,1260,4,115.92661553530641
2001,1296,4,131.9266155353064
