X,Y,Cluster Size,ADU Value
357,636,1,124.56690399543865
391,1613,1,115.56690399543865
455,1429,1,116.56690399543865
486,1351,1,117.56690399543865
497,1394,1,118.56690399543865
773,1274,1,118.56690399543865
835,1346,1,112.56690399543865
863,1077,1,130.56690399543865
917,1223,1,132.56690399543865
1116,997,1,127.56690399543865
1183,1435,1,125.56690399543865
1340,1177,1,134.56690399543865
1699,411,1,128.56690399543865
1857,586,1,181.56690399543865
56,1188,2,147.1338079908773
269,470,2,120.1338079908773
478,1285,2,124.1338079908773
517,1432,2,136.1338079908773
643,1440,2,115.1338079908773
812,163,2,158.1338079908773
811,1275,2,134.1338079908773
824,1589,2,162.1338079908773
826,1234,2,122.1338079908773
898,1267,2,141.1338079908773
944,1423,2,141.1338079908773
998,1443,2,133.1338079908773
1059,1290,2,146.1338079908773
1082,1442,2,113.1338079908773
1363,1300,2,141.1338079908773
1511,1424,2,133.1338079908773
1521,1481,2,115.1338079908773
1614,1499,2,131.1338079908773
1642,1459,2,119.1338079908773
1681,1241,2,121.1338079908773
1718,1337,2,145.1338079908773
1771,1341,2,118.1338079908773
2037,1365,2,151.1338079908773
54,1002,3,122.70071198631594
117,1453,3,118.70071198631595
482,1425,3,123.70071198631595
504,1280,3,161.70071198631595
593,150,3,134.70071198631595
668,1710,3,120.70071198631595
677,99,3,122.70071198631595
799,1300,3,124.70071198631594
886,1434,3,123.70071198631595
978,1259,3,119.70071198631592
1045,848,3,158.70071198631595
1058,1417,3,135.70071198631592
1140,1262,3,117.70071198631592
1206,1421,3,117.70071198631594
1225,1311,3,131.70071198631592
1249,1483,3,112.70071198631595
1269,994,3,114.70071198631595
1273,370,3,120.70071198631594
1315,1836,3,117.70071198631595
1325,1216,3,123.70071198631592
1336,1469,3,115.70071198631595
1343,1433,3,121.70071198631592
1349,1091,3,113.70071198631592
1360,650,3,118.70071198631592
1442,1453,3,122.70071198631592
1531,1490,3,116.70071198631595
1544,1325,3,124.70071198631594
1552,541,3,127.70071198631595
1609,1263,3,133.70071198631595
1619,1218,3,131.70071198631592
1620,1017,3,150.70071198631592
1640,1414,3,132.70071198631592
1668,1074,3,122.70071198631595
1753,1478,3,118.70071198631595
1753,1448,3,123.70071198631595
1802,1477,3,117.70071198631595
1821,1355,3,113.70071198631592
1833,1454,3,114.70071198631592
1888,1509,3,119.70071198631592
1923,1151,3,116.70071198631594
1941,1368,3,147.70071198631595
1993,1361,3,145.70071198631592
66,1663,4,112.26761598175457
111,1162,4,138.26761598175457
144,1449,4,119.26761598175457
227,1292,4,117.26761598175457
347,1360,4,122.26761598175457
362,1957,4,179.2676159817546
430,827,4,158.26761598175457
438,1293,4,128.26761598175457
510,1416,4,112.26761598175457
590,96,4,115.26761598175457
649,1287,4,112.26761598175457
733,1283,4,139.26761598175457
841,708,4,142.26761598175457
901,522,4,167.2676159817546
939,1539,4,114.26761598175457
944,1284,4,114.26761598175457
973,1269,4,194.26761598175457
980,1250,4,113.26761598175457
981,1290,4,126.2676159817546
1017,1277,4,132.26761598175457
1048,1274,4,127.26761598175457
1068,1007,4,139.26761598175457
1079,1195,4,119.26761598175457
1145,1281,4,133.26761598175457
1152,1373,4,124.26761598175457
1165,27,4,159.2676159817546
1165,1446,4,123.26761598175457
1179,344,4,162.26761598175457
1221,1957,4,139.26761598175457
1231,1305,4,112.26761598175457
1310,1433,4,141.26761598175457
1311,1427,4,130.26761598175457
1330,577,4,130.26761598175457
1330,601,4,145.26761598175457
1339,1286,4,113.26761598175457
1350,540,4,141.26761598175457
1360,1418,4,140.26761598175457
1369,1310,4,121.26761598175457
1380,1427,4,117.26761598175457
1389,1692,4,113.26761598175457
1392,1175,4,125.26761598175457
1395,1758,4,117.26761598175457
1404,987,4,148.26761598175457
1413,537,4,149.26761598175457
1418,1441,4,124.26761598175457
1429,1434,4,124.26761598175457
1444,1243,4,127.26761598175457
1449,1427,4,114.26761598175457
1454,1375,4,142.2676159817546
1474,1447,4,115.26761598175457
1481,1306,4,124.26761598175457
1498,1302,4,122.26761598175457
1544,1447,4,130.26761598175457
1581,1427,4,129.26761598175457
1591,1456,4,122.26761598175457
1592,21,4,156.26761598175457
1609,1449,4,121.26761598175457
1630,161,4,122.26761598175457
1655,1471,4,131.26761598175457
1667,1326,4,122.26761598175457
1673,1564,4,125.26761598175457
1684,1024,4,147.26761598175457
1701,1191,4,113.26761598175457
1703,1140,4,117.26761598175457
1716,2030,4,115.26761598175457
1744,1481,4,114.26761598175457
1750,692,4,112.26761598175457
1753,1488,4,130.26761598175457
1770,1199,4,158.2676159817546
1790,1141,4,154.2676159817546
1833,1298,4,148.26761598175457
1836,1353,4,124.26761598175457
1836,753,4,153.26761598175457
1842,1424,4,130.26761598175457
1843,1459,4,122.26761598175457
1853,1469,4,143.2676159817546
1857,1341,4,120.26761598175457
1860,1393,4,112.26761598175457
1861,1124,4,114.26761598175457
1866,1487,4,125.2676159817546
1871,1324,4,129.26761598175457
1873,1888,4,133.26761598175457
1884,1030,4,130.26761598175457
1886,1490,4,112.26761598175457
1921,1440,4,145.26761598175457
1934,1728,4,126.26761598175457
1939,1508,4,120.26761598175457
1949,1487,4,115.26761598175457
1958,2,4,114.26761598175457
1980,626,4,124.26761598175457
1981,119,4,124.26761598175457
2000,1360,4,118.26761598175457
2027,1539,4,127.26761598175457
2037,1363,4,132.26761598175457
