X,Y,Cluster Size,ADU Value
322,1016,1,146.98176842264056
350,1446,1,124.98176842264056
488,1437,1,111.98176842264056
519,1377,1,124.98176842264056
568,1305,1,126.98176842264056
640,778,1,119.98176842264056
642,1348,1,113.98176842264056
675,1373,1,111.98176842264056
936,1323,1,128.98176842264056
1444,1439,1,125.98176842264056
1593,1411,1,123.98176842264056
1659,1478,1,114.98176842264056
1956,442,1,186.98176842264056
66,1452,2,143.9635368452811
143,1390,2,131.9635368452811
379,1478,2,121.96353684528111
448,1271,2,111.96353684528111
578,1272,2,143.9635368452811
1180,1261,2,149.9635368452811
1365,1390,2,131.9635368452811
1394,1252,2,111.9635368452811
1744,1319,2,154.9635368452811
16,1603,3,119.94530526792167
52,1310,3,111.94530526792164
100,1448,3,119.94530526792165
120,833,3,133.94530526792164
164,1447,3,130.94530526792167
226,1287,3,151.94530526792167
354,1197,3,121.94530526792164
355,1237,3,133.94530526792167
447,1422,3,112.94530526792164
944,1037,3,128.94530526792167
1018,1168,3,114.94530526792165
1119,1432,3,118.94530526792167
1135,1172,3,145.94530526792167
1168,1325,3,143.94530526792167
1189,945,3,113.94530526792164
1239,1397,3,126.94530526792167
1281,1419,3,135.94530526792167
1317,1183,3,116.94530526792165
1438,1086,3,113.94530526792164
1748,1459,3,123.94530526792165
1927,1358,3,114.94530526792165
1947,1458,3,126.94530526792164
1988,1275,3,113.94530526792164
2014,1006,3,153.94530526792164
3,1258,4,136.9270736905622
9,1458,4,138.9270736905622
10,1455,4,129.9270736905622
11,1289,4,152.9270736905622
23,1325,4,124.9270736905622
29,1822,4,123.9270736905622
31,1395,4,161.9270736905622
33,2,4,128.9270736905622
38,2,4,111.9270736905622
43,1324,4,120.9270736905622
56,2041,4,134.9270736905622
70,1346,4,127.9270736905622
75,1427,4,120.9270736905622
80,1351,4,142.92707369056222
84,1186,4,135.9270736905622
85,1435,4,129.9270736905622
148,1320,4,129.9270736905622
294,1335,4,129.9270736905622
477,1348,4,130.9270736905622
488,1431,4,131.9270736905622
705,1254,4,135.9270736905622
725,2025,4,133.9270736905622
728,1179,4,118.9270736905622
763,1289,4,121.9270736905622
879,1379,4,117.9270736905622
1233,1430,4,131.9270736905622
1261,1090,4,126.9270736905622
1673,498,4,172.9270736905622
1711,1146,4,138.92707369056222
1777,1349,4,144.92707369056222
1870,1674,4,131.9270736905622
1906,1449,4,128.9270736905622
1952,1199,4,116.9270736905622
1964,1433,4,112.9270736905622
2017,1500,4,115.9270736905622
