X,Y,Cluster Size,ADU Value
62,1318,1,136.98926121232034
293,1170,1,112.98926121232033
314,1442,1,122.98926121232033
371,1047,1,128.98926121232034
545,741,1,134.98926121232034
639,1247,1,112.98926121232033
714,1366,1,113.98926121232033
736,1453,1,133.98926121232034
905,1179,1,179.98926121232034
938,239,1,140.98926121232034
1099,1409,1,120.98926121232033
1159,1140,1,124.98926121232033
1251,1371,1,123.98926121232033
1293,1296,1,115.98926121232033
1448,1286,1,118.98926121232033
1477,1239,1,112.98926121232033
1486,1335,1,127.98926121232033
1589,16,1,121.98926121232033
1880,1640,1,130.98926121232034
1897,1358,1,120.98926121232033
2026,1462,1,123.98926121232033
453,1195,2,121.97852242464066
652,1495,2,138.97852242464066
737,1249,2,178.9785224246407
929,1478,2,123.97852242464066
1098,1009,2,124.97852242464066
1274,1079,2,117.97852242464066
1295,1966,2,162.9785224246407
1479,1308,2,113.97852242464066
1502,1320,2,109.97852242464066
1709,1471,2,118.97852242464066
1739,1484,2,170.9785224246407
1745,1117,2,153.9785224246407
1981,765,2,162.9785224246407
2045,1378,2,114.97852242464066
3,1142,3,163.96778363696097
14,669,3,109.96778363696099
36,1072,3,142.96778363696097
67,1472,3,112.96778363696099
110,907,3,119.96778363696099
184,1450,3,140.96778363696097
187,1346,3,113.96778363696099
203,1080,3,110.96778363696099
223,1507,3,117.96778363696099
298,1796,3,128.96778363696097
346,1293,3,126.96778363696099
362,1407,3,113.96778363696099
368,1272,3,131.96778363696097
390,1441,3,110.96778363696099
404,1308,3,115.96778363696099
426,1204,3,113.96778363696099
431,1547,3,144.96778363696097
449,733,3,118.96778363696099
462,1300,3,117.96778363696099
484,1448,3,112.96778363696099
511,1312,3,123.96778363696099
569,1463,3,122.96778363696099
594,371,3,114.96778363696099
653,1272,3,114.96778363696099
658,589,3,115.96778363696099
684,1276,3,122.96778363696099
720,1483,3,113.96778363696099
893,1586,3,131.96778363696097
905,224,3,155.96778363696097
916,1280,3,112.96778363696099
953,879,3,144.96778363696097
1057,1442,3,109.96778363696099
1084,1517,3,109.96778363696099
1136,2032,3,166.96778363696097
1195,1474,3,118.96778363696099
1240,1434,3,115.96778363696099
1243,1475,3,150.96778363696097
1289,1448,3,114.96778363696099
1346,616,3,118.96778363696099
1544,1266,3,134.96778363696097
1555,461,3,116.96778363696099
1688,1383,3,122.96778363696099
1702,672,3,127.96778363696099
1725,1894,3,129.96778363696097
1794,1283,3,128.96778363696097
1823,1286,3,114.96778363696099
1863,1123,3,113.96778363696099
5,1351,4,187.95704484928132
17,2,4,114.95704484928132
22,1306,4,160.95704484928132
23,1391,4,157.95704484928132
27,2,4,118.95704484928132
32,1562,4,177.95704484928132
37,1315,4,113.95704484928132
43,1704,4,119.95704484928132
45,1436,4,140.95704484928132
47,1692,4,117.95704484928132
52,795,4,130.95704484928132
56,1456,4,122.95704484928132
59,1281,4,139.95704484928132
67,1271,4,189.95704484928132
72,1311,4,143.95704484928132
94,1455,4,132.95704484928132
100,1022,4,160.95704484928132
101,1450,4,136.95704484928132
100,1467,4,118.95704484928132
105,1333,4,118.95704484928132
130,1251,4,143.95704484928132
130,1481,4,132.95704484928132
136,1298,4,153.95704484928132
157,931,4,137.95704484928132
184,1439,4,122.95704484928132
208,25,4,118.95704484928132
218,1463,4,122.95704484928132
229,1308,4,141.95704484928132
232,1433,4,137.95704484928132
237,1152,4,144.95704484928132
258,890,4,146.95704484928132
268,1316,4,124.95704484928132
337,1295,4,148.95704484928132
388,1358,4,115.95704484928132
404,218,4,129.95704484928132
407,1285,4,129.95704484928132
407,833,4,120.95704484928132
451,1292,4,126.95704484928132
478,607,4,130.95704484928132
491,1403,4,117.95704484928132
580,1285,4,121.95704484928132
587,1441,4,130.95704484928132
589,1287,4,112.95704484928132
674,1344,4,119.95704484928132
780,1423,4,141.95704484928132
933,1268,4,137.95704484928132
1050,1157,4,121.95704484928132
1078,386,4,123.95704484928132
1236,711,4,127.95704484928132
1242,1438,4,117.95704484928132
1320,1900,4,132.95704484928132
1392,339,4,120.95704484928132
1421,1249,4,121.95704484928132
1428,1486,4,124.95704484928132
1488,1385,4,112.95704484928132
1514,111,4,110.95704484928132
1557,852,4,129.95704484928132
1562,527,4,173.95704484928132
1657,1236,4,149.95704484928132
1683,1119,4,114.95704484928132
1727,1392,4,114.95704484928132
1811,753,4,150.95704484928132
2031,1165,4,116.95704484928132
