X,Y,Cluster Size,ADU Value
163,958,1,190.90886930679758
164,248,1,159.90886930679758
168,1181,1,121.90886930679758
186,1749,1,119.90886930679758
201,663,1,166.90886930679758
204,1897,1,194.90886930679758
214,76,1,147.90886930679758
222,224,1,151.90886930679758
227,1351,1,146.90886930679758
234,685,1,150.90886930679758
237,799,1,166.90886930679758
238,931,1,168.90886930679758
245,1211,1,162.90886930679758
248,1428,1,139.90886930679758
255,1271,1,139.90886930679758
255,1760,1,183.90886930679758
259,1814,1,145.90886930679758
260,627,1,156.90886930679758
269,768,1,147.90886930679758
272,415,1,133.90886930679758
274,951,1,159.90886930679758
275,686,1,155.90886930679758
279,1527,1,166.90886930679758
280,583,1,145.90886930679758
284,646,1,152.90886930679758
287,831,1,182.90886930679758
289,868,1,155.90886930679758
301,673,1,179.90886930679758
303,1447,1,133.90886930679758
311,1593,1,154.90886930679758
311,1679,1,154.90886930679758
315,1039,1,157.90886930679758
320,724,1,142.90886930679758
321,946,1,123.90886930679758
322,794,1,147.90886930679758
325,73,1,171.90886930679758
329,1988,1,171.90886930679758
330,851,1,146.90886930679758
335,1434,1,128.90886930679758
336,1588,1,160.90886930679758
340,923,1,139.90886930679758
344,184,1,162.90886930679758
349,998,1,172.90886930679758
350,631,1,149.90886930679758
352,1259,1,117.90886930679758
353,1635,1,190.90886930679758
359,1872,1,154.90886930679758
360,1429,1,111.90886930679758
361,797,1,124.90886930679758
369,557,1,133.90886930679758
371,1995,1,129.90886930679758
382,1864,1,116.90886930679758
383,728,1,151.90886930679758
383,1388,1,111.90886930679758
384,329,1,150.90886930679758
389,747,1,142.90886930679758
393,493,1,137.90886930679758
393,1503,1,110.90886930679758
405,183,1,196.90886930679758
410,1468,1,155.90886930679758
411,1153,1,133.90886930679758
414,1150,1,132.90886930679758
416,1142,1,121.90886930679758
417,1254,1,121.90886930679758
421,689,1,118.90886930679758
425,1029,1,197.90886930679758
438,1960,1,143.90886930679758
440,1064,1,181.90886930679758
441,1814,1,138.90886930679758
442,1024,1,131.90886930679758
444,281,1,171.90886930679758
444,1478,1,145.90886930679758
445,977,1,141.90886930679758
449,1331,1,129.90886930679758
453,1975,1,178.90886930679758
455,1131,1,116.90886930679758
456,2032,1,152.90886930679758
457,453,1,145.90886930679758
457,1222,1,135.90886930679758
457,1525,1,141.90886930679758
458,680,1,149.90886930679758
459,844,1,139.90886930679758
461,433,1,151.90886930679758
461,1103,1,172.90886930679758
465,1773,1,122.90886930679758
467,1279,1,125.90886930679758
469,655,1,137.90886930679758
473,1924,1,139.90886930679758
475,1338,1,111.90886930679758
475,1367,1,163.90886930679758
477,464,1,161.90886930679758
478,1286,1,116.90886930679758
479,1133,1,132.90886930679758
479,1396,1,135.90886930679758
481,554,1,146.90886930679758
485,913,1,123.90886930679758
485,1175,1,129.90886930679758
485,1279,1,125.90886930679758
488,1722,1,158.90886930679758
490,1095,1,139.90886930679758
492,1523,1,131.90886930679758
493,315,1,168.90886930679758
495,958,1,146.90886930679758
495,1480,1,121.90886930679758
496,875,1,128.90886930679758
498,1311,1,135.90886930679758
498,1382,1,138.90886930679758
499,307,1,165.90886930679758
501,554,1,127.90886930679758
501,610,1,150.90886930679758
504,382,1,173.90886930679758
506,1277,1,114.90886930679758
508,875,1,128.90886930679758
508,1847,1,167.90886930679758
509,1382,1,129.90886930679758
510,834,1,110.90886930679758
515,1029,1,162.90886930679758
517,1750,1,141.90886930679758
522,1043,1,140.90886930679758
528,1287,1,123.90886930679758
529,919,1,129.90886930679758
529,1189,1,125.90886930679758
532,878,1,165.90886930679758
533,520,1,132.90886930679758
534,1398,1,123.90886930679758
536,308,1,154.90886930679758
539,677,1,145.90886930679758
540,1357,1,116.90886930679758
540,1370,1,119.90886930679758
541,299,1,159.90886930679758
541,1486,1,158.90886930679758
542,1391,1,149.90886930679758
544,1114,1,164.90886930679758
544,1170,1,112.90886930679758
546,962,1,132.90886930679758
548,893,1,133.90886930679758
551,409,1,145.90886930679758
554,739,1,126.90886930679758
554,1703,1,143.90886930679758
554,1798,1,152.90886930679758
556,1951,1,155.90886930679758
557,452,1,143.90886930679758
559,930,1,135.90886930679758
562,873,1,136.90886930679758
562,952,1,125.90886930679758
563,899,1,139.90886930679758
573,187,1,141.90886930679758
575,1244,1,115.90886930679758
578,1815,1,148.90886930679758
581,981,1,129.90886930679758
583,605,1,154.90886930679758
583,1016,1,170.90886930679758
590,763,1,158.90886930679758
592,1904,1,124.90886930679758
596,1103,1,131.90886930679758
608,957,1,137.90886930679758
608,1352,1,127.90886930679758
608,1639,1,139.90886930679758
613,982,1,126.90886930679758
614,1334,1,125.90886930679758
618,838,1,129.90886930679758
618,1103,1,140.90886930679758
621,1125,1,164.90886930679758
626,650,1,135.90886930679758
627,1060,1,140.90886930679758
631,1430,1,125.90886930679758
634,961,1,149.90886930679758
635,1383,1,140.90886930679758
