X,Y,Photon Count,ADU Value
0,0,2,27.90886930679759
0,2,2,46.90886930679759
1,0,2,23.90886930679759
1,2,2,37.90886930679759
2,0,2,28.90886930679759
2,2,2,35.90886930679759
0,379,2,24.90886930679759
1,379,2,27.90886930679759
1,380,2,46.90886930679759
2,378,2,24.90886930679759
2,379,2,22.90886930679759
2,380,2,61.90886930679759
0,381,3,24.90886930679759
1,380,3,46.90886930679759
1,381,3,48.90886930679759
1,382,3,23.90886930679759
2,380,3,61.90886930679759
2,381,3,80.90886930679758
2,382,3,32.90886930679759
0,597,2,22.90886930679759
0,598,2,29.90886930679759
1,597,2,30.90886930679759
2,596,2,22.90886930679759
2,597,2,94.90886930679758
2,598,2,22.90886930679759
0,597,2,22.90886930679759
0,598,2,29.90886930679759
0,599,2,23.90886930679759
1,597,2,30.90886930679759
2,597,2,94.90886930679758
2,598,2,22.90886930679759
0,710,2,24.90886930679759
0,711,2,21.90886930679759
2,711,2,66.90886930679758
2,712,2,39.90886930679759
0,726,2,20.90886930679759
1,727,2,36.90886930679759
1,728,2,28.90886930679759
2,726,2,21.90886930679759
2,727,2,52.90886930679759
2,728,2,31.90886930679759
0,730,2,35.90886930679759
0,731,2,25.90886930679759
1,731,2,67.90886930679758
2,729,2,32.90886930679759
2,731,2,22.90886930679759
0,761,2,32.90886930679759
0,762,2,60.90886930679759
1,762,2,37.90886930679759
2,761,2,21.90886930679759
0,766,2,34.90886930679759
0,767,2,60.90886930679759
1,765,2,26.90886930679759
1,767,2,27.90886930679759
0,776,2,52.90886930679759
0,777,2,73.90886930679758
1,775,2,20.90886930679759
1,776,2,34.90886930679759
1,777,2,29.90886930679759
0,1209,2,22.90886930679759
1,1207,2,21.90886930679759
1,1208,2,26.90886930679759
1,1209,2,72.90886930679758
2,1208,2,20.90886930679759
2,1209,2,34.90886930679759
0,1209,3,22.90886930679759
1,1208,3,26.90886930679759
1,1209,3,72.90886930679758
1,1210,3,37.90886930679759
2,1208,3,20.90886930679759
2,1209,3,34.90886930679759
2,1210,3,45.90886930679759
0,1209,2,22.90886930679759
0,1211,2,23.90886930679759
1,1209,2,72.90886930679758
1,1210,2,37.90886930679759
2,1209,2,34.90886930679759
2,1210,2,45.90886930679759
0,1237,2,28.90886930679759
0,1238,2,22.90886930679759
1,1236,2,30.90886930679759
1,1238,2,23.90886930679759
2,1236,2,48.90886930679759
2,1237,2,23.90886930679759
0,1312,2,24.90886930679759
1,1311,2,46.90886930679759
1,1312,2,24.90886930679759
2,1310,2,31.90886930679759
2,1311,2,35.90886930679759
2,1312,2,21.90886930679759
1,1384,2,20.90886930679759
1,1386,2,128.90886930679758
2,1385,2,22.90886930679759
0,1388,2,20.90886930679759
1,1386,2,128.90886930679758
2,1388,2,22.90886930679759
0,1412,2,51.90886930679759
0,1413,2,38.90886930679759
