X,Y,Cluster Size,ADU Value
378,1071,1,145.84451021364376
449,1283,1,135.84451021364376
482,1423,1,112.84451021364376
490,1230,1,133.84451021364376
677,1249,1,133.84451021364376
760,1401,1,136.84451021364376
980,1256,1,119.84451021364376
1059,1347,1,123.84451021364376
1130,1485,1,111.84451021364376
1292,184,1,158.84451021364376
1527,1350,1,118.84451021364376
1581,1907,1,112.84451021364376
1736,1296,1,122.84451021364376
1871,1316,1,128.84451021364376
1878,1351,1,138.84451021364376
1881,1354,1,128.84451021364376
1932,1264,1,132.84451021364376
294,1091,2,127.68902042728752
555,1193,2,124.68902042728752
558,1430,2,162.68902042728752
638,1259,2,156.68902042728752
642,1250,2,124.68902042728752
835,1302,2,127.68902042728752
978,1276,2,120.68902042728752
1288,1370,2,123.68902042728752
1326,1119,2,144.68902042728752
1330,1464,2,140.68902042728752
1589,1449,2,137.68902042728752
1708,1336,2,147.68902042728752
1749,1456,2,143.68902042728752
1886,1260,2,162.68902042728752
74,1355,3,137.53353064093128
92,1412,3,118.53353064093128
127,1432,3,133.53353064093128
146,1327,3,119.53353064093128
172,1455,3,122.53353064093128
194,1463,3,111.53353064093128
229,1358,3,128.53353064093128
230,1187,3,137.53353064093128
232,1442,3,117.53353064093128
293,1315,3,154.53353064093128
358,1439,3,114.53353064093128
412,1254,3,111.53353064093128
431,912,3,134.53353064093128
581,617,3,157.53353064093128
798,580,3,130.53353064093128
910,1706,3,119.53353064093128
928,1427,3,113.53353064093128
979,322,3,120.53353064093128
1019,1385,3,141.53353064093128
1070,1353,3,117.53353064093128
1159,1281,3,111.53353064093128
1282,1033,3,118.53353064093128
1375,750,3,125.53353064093128
1382,1447,3,119.53353064093128
1511,1873,3,122.53353064093128
1524,546,3,134.53353064093128
1543,1713,3,119.53353064093128
1550,1313,3,121.53353064093128
1587,1319,3,124.53353064093128
1722,1284,3,114.53353064093128
1764,1367,3,129.53353064093128
1822,1317,3,122.53353064093128
1929,1362,3,147.53353064093128
17,1493,4,141.37804085457503
25,1385,4,175.37804085457503
28,1019,4,120.37804085457503
29,1204,4,137.37804085457503
54,1318,4,147.37804085457503
59,1295,4,135.37804085457503
62,424,4,122.37804085457503
63,1460,4,116.37804085457503
67,1387,4,141.37804085457503
69,2,4,116.37804085457503
72,1445,4,142.37804085457503
73,1474,4,118.37804085457503
75,1687,4,129.37804085457503
79,1427,4,121.37804085457503
97,1318,4,153.37804085457503
100,1448,4,132.37804085457503
100,1174,4,136.37804085457503
124,1222,4,138.37804085457503
161,1550,4,112.37804085457503
166,1093,4,128.37804085457503
173,1417,4,118.37804085457503
185,1206,4,116.37804085457503
298,1284,4,127.37804085457503
304,1290,4,130.37804085457503
314,1463,4,121.37804085457503
325,1536,4,121.37804085457503
390,1949,4,138.37804085457503
447,955,4,112.37804085457503
470,1985,4,125.37804085457503
548,618,4,122.37804085457503
638,1515,4,121.37804085457503
661,1266,4,121.37804085457503
701,1305,4,111.37804085457503
798,979,4,143.37804085457503
799,974,4,146.37804085457503
847,4,4,149.37804085457503
948,506,4,121.37804085457503
963,1265,4,112.37804085457503
983,8,4,139.37804085457503
1238,1434,4,142.37804085457503
1247,1066,4,125.37804085457503
1258,1210,4,121.37804085457503
1263,1414,4,128.37804085457503
1317,1443,4,142.37804085457503
1326,1299,4,116.37804085457503
1381,1154,4,126.37804085457503
1457,1279,4,178.37804085457503
1694,1472,4,115.37804085457503
1707,1470,4,127.37804085457503
1757,1463,4,112.37804085457503
1777,1558,4,134.37804085457503
1870,5,4,112.37804085457503
1920,1562,4,122.37804085457503
1979,1190,4,130.37804085457503
