X,Y,Photon Count,ADU Value
0,0,2,23.705934857967172
0,2,2,37.70593485796717
1,0,2,26.705934857967172
1,2,2,46.70593485796717
2,2,2,41.70593485796717
0,202,2,26.705934857967172
0,203,2,21.705934857967172
0,204,2,24.705934857967172
1,202,2,20.705934857967172
1,203,2,28.705934857967172
1,204,2,26.705934857967172
2,202,2,33.70593485796717
2,204,2,24.705934857967172
1,0,2,26.705934857967172
1,2,2,46.70593485796717
2,2,2,41.70593485796717
3,2,2,42.70593485796717
1,1779,2,34.70593485796717
1,1780,2,23.705934857967172
1,1781,2,21.705934857967172
2,1780,2,32.70593485796717
3,1779,2,31.705934857967172
3,1780,2,54.70593485796717
3,1781,2,40.70593485796717
2,2,2,41.70593485796717
3,2,2,42.70593485796717
4,0,2,26.705934857967172
4,2,2,39.70593485796717
3,1779,2,31.705934857967172
3,1780,2,54.70593485796717
3,1781,2,40.70593485796717
4,1780,2,32.70593485796717
5,1779,2,28.705934857967172
4,2,2,39.70593485796717
4,4,2,22.705934857967172
5,2,2,41.70593485796717
5,3,2,26.705934857967172
6,2,2,33.70593485796717
6,4,2,22.705934857967172
5,606,2,20.705934857967172
5,607,2,29.705934857967172
5,608,2,30.705934857967172
6,607,2,21.705934857967172
7,606,2,23.705934857967172
7,607,2,65.70593485796718
7,608,2,27.705934857967172
5,607,2,29.705934857967172
5,608,2,30.705934857967172
6,607,2,21.705934857967172
6,609,2,21.705934857967172
7,607,2,65.70593485796718
7,608,2,27.705934857967172
5,1249,2,21.705934857967172
6,1250,2,26.705934857967172
7,1250,2,149.70593485796718
5,1249,2,21.705934857967172
6,1250,2,26.705934857967172
7,1250,2,149.70593485796718
6,1250,2,26.705934857967172
7,1250,2,149.70593485796718
6,1250,2,26.705934857967172
7,1250,2,149.70593485796718
8,1251,2,21.705934857967172
6,1250,2,26.705934857967172
7,1250,2,149.70593485796718
8,1251,2,21.705934857967172
7,621,2,20.705934857967172
8,620,2,28.705934857967172
9,620,2,62.70593485796717
9,621,2,43.70593485796717
7,1250,2,149.70593485796718
8,1251,2,21.705934857967172
7,1250,2,149.70593485796718
8,1251,2,21.705934857967172
9,1252,2,24.705934857967172
9,620,2,62.70593485796717
9,621,2,43.70593485796717
10,620,2,27.705934857967172
11,621,2,28.705934857967172
12,1459,2,26.705934857967172
12,1460,2,37.70593485796717
13,1459,2,38.70593485796717
13,1460,2,56.70593485796717
11,1461,2,21.705934857967172
12,1459,2,26.705934857967172
12,1460,2,37.70593485796717
13,1459,2,38.70593485796717
13,1460,2,56.70593485796717
12,1459,2,26.705934857967172
12,1460,2,37.70593485796717
13,1459,2,38.70593485796717
13,1460,2,56.70593485796717
14,1458,2,25.705934857967172
14,1459,2,24.705934857967172
13,1459,2,38.70593485796717
13,1460,2,56.70593485796717
14,1458,2,25.705934857967172
14,1459,2,24.705934857967172
15,1458,2,28.705934857967172
15,1460,2,21.705934857967172
14,0,2,27.705934857967172
14,2,2,37.70593485796717
15,0,2,29.705934857967172
15,2,2,35.70593485796717
16,0,2,29.705934857967172
16,2,2,33.70593485796717
18,1320,2,51.70593485796717
18,1321,2,26.705934857967172
18,1322,2,30.705934857967172
19,1321,2,24.705934857967172
19,1322,2,27.705934857967172
20,1320,2,21.705934857967172
20,1321,2,20.705934857967172
21,1448,2,27.705934857967172
21,1449,2,34.70593485796717
22,1447,2,23.705934857967172
22,1448,2,33.70593485796717
22,1449,2,60.70593485796717
21,1448,2,27.705934857967172
21,1449,2,34.70593485796717
21,1450,2,24.705934857967172
